coarse_neq,fine_neq,coarse_iters,fine_iters,rom_time_ms,fom_time_ms,speedup_vs_fom,rel_l2_median,rel_l2_p90,rel_l2_max,frac_le_1e-2,frac_le_5e-3,iters_c_med,iters_f_med
500,2000,30,10,120.20,273.98,2.279,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,2000,30,20,121.09,273.98,2.263,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
500,4000,10,3,97.49,273.98,2.810,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,4000,10,5,117.85,273.98,2.325,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,4000,10,10,118.86,273.98,2.305,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,4000,10,20,120.01,273.98,2.283,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
500,4000,20,3,113.54,273.98,2.413,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,4000,20,5,129.34,273.98,2.118,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,4000,20,10,132.80,273.98,2.063,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,4000,20,20,132.73,273.98,2.064,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
500,4000,30,3,128.82,273.98,2.127,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,4000,30,5,140.73,273.98,1.947,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,4000,30,10,141.48,273.98,1.936,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,4000,30,20,141.27,273.98,1.939,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
500,8000,10,3,131.52,273.98,2.083,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
500,8000,10,5,170.64,273.98,1.606,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
500,8000,10,10,186.38,273.98,1.470,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
500,8000,10,20,172.86,273.98,1.585,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
500,8000,20,3,146.92,273.98,1.865,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
500,8000,20,5,183.28,273.98,1.495,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
500,8000,20,10,186.15,273.98,1.472,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
500,8000,20,20,186.55,273.98,1.469,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
500,8000,30,3,162.05,273.98,1.691,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
500,8000,30,5,183.48,273.98,1.493,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
500,8000,30,10,194.19,273.98,1.411,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
500,8000,30,20,194.27,273.98,1.410,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
1000,500,10,3,82.05,273.98,3.339,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,500,10,5,84.99,273.98,3.224,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,500,10,10,85.70,273.98,3.197,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,500,10,20,86.00,273.98,3.186,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
1000,500,20,3,110.19,273.98,2.486,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
1000,500,20,5,112.07,273.98,2.445,2.911e-03,1.801e-02,1.827e+00,0.881,0.825,20.0,5.0
1000,500,20,10,113.22,273.98,2.420,2.891e-03,9.869e-03,1.556e+00,0.906,0.838,20.0,5.0
1000,500,20,20,113.06,273.98,2.423,2.878e-03,9.729e-03,1.530e+00,0.906,0.844,20.0,5.0
1000,500,30,3,137.03,273.98,1.999,2.961e-03,2.390e-02,1.970e+00,0.881,0.825,30.0,3.0
1000,500,30,5,139.20,273.98,1.968,2.929e-03,1.720e-02,1.871e+00,0.887,0.819,30.0,5.0
1000,500,30,10,139.32,273.98,1.966,2.890e-03,9.565e-03,1.816e+00,0.919,0.844,30.0,5.0
1000,500,30,20,139.68,273.98,1.961,2.877e-03,6.655e-03,1.653e+00,0.938,0.850,30.0,5.0
1000,1000,10,3,86.43,273.98,3.170,3.460e-03,4.724e-01,2.372e+00,0.775,0.706,10.0,3.0
1000,1000,10,5,91.09,273.98,3.008,3.233e-03,3.192e-01,2.818e+00,0.812,0.762,10.0,5.0
1000,1000,10,10,93.14,273.98,2.942,3.048e-03,3.589e-02,2.981e+00,0.869,0.800,10.0,5.0
1000,1000,10,20,91.86,273.98,2.983,3.017e-03,1.003e-02,3.054e+00,0.894,0.819,10.0,5.0
1000,1000,20,3,114.32,273.98,2.397,2.997e-03,8.112e-02,1.815e+00,0.869,0.806,20.0,3.0
