problem,phase,intervals,method,gpu_ms,host_ms,worst_error,error_norm,target,qualified,solver_converged,stationarity_status,stalled_initial_fits,stalled_steps,gpu_outliers,host_outliers,invocations,job_id
Poisson 2D tuning,confirmation,256,nmrom_baseline,2.6157451793551445,3.6159049486741424,0.06801564300500441,current-relative solution L2,0.05,False,True,90/90 stationary,,,1,1,90,3548866
Poisson 2D tuning,confirmation,256,stationarity_1e-06,2.3467325372621417,3.461685497313738,0.06801564318068065,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,budget_1,1.9696959061548114,5.475586513057351,0.2999510721460888,current-relative solution L2,0.05,False,False,0/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,cg_1e-01,83.65917264018208,87.31254341546446,0.01019172872182308,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,cg_1e-02,107.46684891637415,111.35100841056556,0.0008402619811672522,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,cg_1e-04,152.75730460416526,156.25964500941336,9.670783693451653e-06,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,cg_1e-06,185.81041193101555,189.53241605777293,7.351440087108739e-06,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,cg_3e-02,96.93414496723562,100.48897855449468,0.0025527037957419904,current-relative solution L2,0.05,True,True,not applicable,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,dst,0.31903048511594534,4.492335603572428,7.351177051312655e-06,current-relative solution L2,0.05,True,True,not applicable,,,4,0,90,3548866
Poisson 2D tuning,confirmation,1024,multistart4_M1024,6.941578001715243,10.419410071335733,0.06801549768015695,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
Poisson 2D tuning,confirmation,1024,nmrom_baseline,2.9428480193018913,6.524563999846578,0.06801556261582448,current-relative solution L2,0.05,False,True,90/90 stationary,,,1,0,90,3548866
Poisson 2D tuning,confirmation,1024,stationarity_1e-06,2.6139820693060756,6.129781133495271,0.06801556287945475,current-relative solution L2,0.05,False,True,90/90 stationary,,,0,0,90,3548866
