jax_backend=gpu

### k=12 src=9  ceiling 2.973e-03  ROM 1.962e-01  obj0 4.3163e-02 -> 9.1232e-03 (red 2.11e-01)  obj@ceil 1.0176e-04  iters 60 acc 38 reason 0  |z0-zceil| 0.314 |zfin-zceil| 3.552
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
    17 6.27e-09 1.8745e-04 1.8745e-04 A  1.186e-04 0.368 6.914e+02 1.236e-10
    18 2.09e-09 1.8745e-04 1.8745e-04 A  7.298e-05 0.368 6.915e+02 3.885e-11
    19 6.97e-10 1.8745e-04 1.8745e-04 A  4.467e-05 0.368 6.915e+02 3.737e-11
    20 2.32e-10 1.8745e-04 1.8745e-04 A  2.733e-05 0.368 6.915e+02 1.755e-11
    21 7.74e-11 1.8745e-04 1.8745e-04 A  1.669e-05 0.368 6.915e+02 1.281e-11
    22 2.58e-11 1.8745e-04 1.8745e-04 A  1.019e-05 0.368 6.915e+02 7.087e-12
    23 8.60e-12 1.8745e-04 1.8745e-04 A  6.216e-06 0.368 6.915e+02 4.623e-12
    24 2.87e-12 1.8745e-04 1.8745e-04 A  3.790e-06 0.368 6.915e+02 2.718e-12
    25 1.00e-12 1.8745e-04 1.8745e-04 A  2.310e-06 0.368 6.915e+02 1.699e-12
    26 1.00e-12 1.8745e-04 1.8745e-04 A  1.408e-06 0.368 6.915e+02 1.022e-12
    27 1.00e-12 1.8745e-04 1.8745e-04 A  8.581e-07 0.368 6.915e+02 6.286e-13
   slice t: obj / err
   -0.30:4.828e-02/6.61e-01  -0.15:4.381e-02/6.00e-01  +0.00:3.892e-02/5.33e-01  +0.15:3.355e-02/4.59e-01  +0.30:2.766e-02/3.80e-01  +0.45:2.136e-02/2.94e-01  +0.60:1.499e-02/2.07e-01  +0.75:8.931e-03/1.23e-01  +0.90:3.394e-03/4.70e-02  +1.05:1.635e-03/2.27e-02  +1.20:6.217e-03/8.55e-02  +1.35:1.054e-02/1.45e-01  +1.50:1.473e-02/2.02e-01

### k=8 src=14  ceiling 8.486e-03  ROM 1.104e-02  obj0 5.9162e-02 -> 7.1951e-05 (red 1.22e-03)  obj@ceil 8.8428e-05  iters 36 acc 28 reason 1  |z0-zceil| 0.503 |zfin-zceil| 0.161
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
     0 1.00e-06 5.9162e-02 1.9466e-01 .  2.112e+00 0.203 4.327e+02 1.658e-02
     1 1.00e-05 5.9162e-02 1.4024e-01 .  1.860e+00 0.203 4.327e+02 1.658e-02
     2 1.00e-04 5.9162e-02 3.3103e-02 A  9.889e-01 0.203 4.327e+02 1.658e-02
     3 3.33e-05 3.3103e-02 1.4048e-02 A  8.311e-01 0.961 1.020e+02 6.208e-03
